NO_OF_FRAMES	946
NO_OF_DATA_TYPES	3
FREQUENCY	300
TIME_STAMP	2024-02-02, 15:30:35
DATA_INCLUDED	Position
DATA_TYPES	r_hip_pos_X	r_hip_pos_Y	r_hip_pos_Z


203.494	486.946	1021.541
206.223	486.948	1030.535
208.926	486.953	1039.593
211.593	486.961	1048.704
214.214	486.974	1057.858
216.781	486.991	1067.043
219.282	487.011	1076.249
221.711	487.035	1085.466
224.057	487.062	1094.683
226.312	487.091	1103.890
228.469	487.123	1113.078
230.520	487.155	1122.236
232.459	487.188	1131.357
234.281	487.221	1140.430
235.981	487.254	1149.449
237.557	487.286	1158.405
239.006	487.319	1167.291
240.328	487.353	1176.101
241.522	487.387	1184.825
242.589	487.423	1193.460
243.533	487.461	1201.998
244.358	487.500	1210.432
245.067	487.542	1218.758
245.669	487.586	1226.969
246.169	487.633	1235.060
246.578	487.681	1243.028
246.903	487.732	1250.869
247.153	487.786	1258.581
247.339	487.842	1266.162
247.469	487.899	1273.611
247.552	487.958	1280.927
247.597	488.017	1288.110
247.611	488.076	1295.162
247.602	488.132	1302.084
247.575	488.187	1308.875
247.538	488.239	1315.538
247.496	488.287	1322.074
247.454	488.330	1328.487
247.419	488.369	1334.778
247.393	488.403	1340.952
247.383	488.432	1347.010
247.392	488.457	1352.955
247.422	488.479	1358.789
247.477	488.498	1364.515
247.558	488.515	1370.135
247.667	488.528	1375.651
247.805	488.538	1381.065
247.970	488.546	1386.379
248.164	488.549	1391.594
248.385	488.549	1396.711
248.631	488.545	1401.733
248.903	488.536	1406.661
249.196	488.522	1411.496
249.509	488.504	1416.240
249.840	488.480	1420.895
250.184	488.451	1425.462
250.538	488.417	1429.942
250.901	488.377	1434.336
251.268	488.331	1438.644
251.636	488.280	1442.868
252.004	488.222	1447.007
252.369	488.159	1451.061
252.728	488.090	1455.029
253.082	488.015	1458.910
253.429	487.935	1462.702
253.768	487.849	1466.404
254.099	487.758	1470.014
254.423	487.662	1473.528
254.739	487.560	1476.945
255.049	487.453	1480.261
